date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:50:16	229104/229104	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jun%202022%2005:32:31%20GMT	https://newdetox.com.br/	C:/Meus%20Sites/NewDetox/newdetox.com.br/index.html	(from )
12:50:16	131/131	---M-Z	200	added ('OK')	text/plain	date:Thu,%2002%20Jun%202022%2015:50:17%20GMT	https://newdetox.com.br/robots.txt		(from )
12:50:18	662/662	---M--	200	added ('OK')	image/png	etag:%22296-5d22c992fe480%22	https://newdetox.com.br/wp-content/plugins/wp-rocket/assets/img/youtube.png	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/plugins/wp-rocket/assets/img/youtube.png	(from https://newdetox.com.br/)
12:50:18	1095739/1095739	---MCZ	200	added ('OK')	text/css	etag:%2210b83b-5df3a85d61149-gzip%22	https://newdetox.com.br/wp-content/cache/min/1/e5247632520ffb62c620a37f8a9c5db8.css	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/cache/min/1/e5247632520ffb62c620a37f8a9c5db8.css	(from https://newdetox.com.br/)
12:50:18	89521/89521	---M-Z	200	added ('OK')	application/javascript	etag:%2215db1-5bd3006388300-gzip%22	https://newdetox.com.br/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-includes/js/jquery/jquery.minaf6c.js	(from https://newdetox.com.br/)
12:50:18	1842/1842	---M-Z	200	added ('OK')	application/rss+xml	etag:%225ff14835ad88be817cc1c6355c07b610-gzip%22	https://newdetox.com.br/feed/	C:/Meus%20Sites/NewDetox/newdetox.com.br/feed/index.html	(from https://newdetox.com.br/)
12:50:18	1639/1639	---M-Z	200	added ('OK')	application/rss+xml	etag:%225ff14835ad88be817cc1c6355c07b610-gzip%22	https://newdetox.com.br/comments/feed/	C:/Meus%20Sites/NewDetox/newdetox.com.br/comments/feed/index.html	(from https://newdetox.com.br/)
12:50:18	11224/11224	---M-Z	200	added ('OK')	application/javascript	etag:%222bd8-5b45debe27b80-gzip%22	https://newdetox.com.br/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://newdetox.com.br/)
12:50:19	253680/253680	---MCZ	200	added ('OK')	application/javascript	etag:%223def0-5d7be697a2b9d-gzip%22	https://newdetox.com.br/wp-content/plugins/smartfunnel/assets/jquery-ui-1.12.0.custom/jquery-ui.min.js?ver=6.0	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/plugins/smartfunnel/assets/jquery-ui-1.12.0.custom/jquery-ui.minf049.js	(from https://newdetox.com.br/)
12:50:19	195717/195717	---MC-	200	added ('OK')	application/json	date:Thu,%2002%20Jun%202022%2015:50:20%20GMT	https://newdetox.com.br/wp-json/	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-json/index.html	(from https://newdetox.com.br/)
12:50:20	318/318	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2002%20Jun%202022%2015:50:21%20GMT	https://newdetox.com.br/xmlrpc.php?rsd	C:/Meus%20Sites/NewDetox/newdetox.com.br/xmlrpc0db0.php	(from https://newdetox.com.br/)
12:50:20	147424/147424	---MC-	200	added ('OK')	application/json	date:Thu,%2002%20Jun%202022%2015:50:20%20GMT	https://newdetox.com.br/wp-json/wp/v2/pages/28	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-json/wp/v2/pages/28.json	(from https://newdetox.com.br/)
12:50:20	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%22415-4ed4785da9bc0-gzip%22	https://newdetox.com.br/wp-includes/wlwmanifest.xml	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-includes/wlwmanifest.xml	(from https://newdetox.com.br/)
12:50:20	2344/2344	---M--	200	added ('OK')	application/json	date:Thu,%2002%20Jun%202022%2015:50:21%20GMT	https://newdetox.com.br/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fnewdetox.com.br%2F	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-json/oembed/1.0/embed8f19.json	(from https://newdetox.com.br/)
12:50:21	2419/2419	---M-Z	200	added ('OK')	text/xml	date:Thu,%2002%20Jun%202022%2015:50:22%20GMT	https://newdetox.com.br/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fnewdetox.com.br%2F&format=xml	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-json/oembed/1.0/embed9c08	(from https://newdetox.com.br/)
12:50:21	203687/203687	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jun%202022%2015:50:21%20GMT	https://newdetox.com.br/?rsd	C:/Meus%20Sites/NewDetox/newdetox.com.br/index0db0.html	(from https://newdetox.com.br/)
12:50:21	1027/1027	---M--	200	added ('OK')	image/png	etag:%22403-5d22e0c1b5640%22	https://newdetox.com.br/wp-content/uploads/2021/12/cropped-fav-32x32.png	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/uploads/2021/12/cropped-fav-32x32.png	(from https://newdetox.com.br/)
12:50:21	5224/5224	---M--	200	added ('OK')	image/png	etag:%221468-5d22e0c1b5640%22	https://newdetox.com.br/wp-content/uploads/2021/12/cropped-fav-192x192.png	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/uploads/2021/12/cropped-fav-192x192.png	(from https://newdetox.com.br/)
